Number,Date ,Time,T5-T0 (Mins.),Location,Class,Affected Volume,Total Excess Travel Time,Lattitude,Longitude,Lanes,Lanes Closed,Capacity reduction,Responding IMTs,MATSim Link,Start,End,,,,,,
159,7/20/2018,8:25:44,50,1116 S I15 NB,4,9992,971.22,40.73787,-111.90434,4,5,0.25,1,26852,30344,33344,,,,,,
160,7/25/2018,16:44:39,69,8000 S I15 SB,4,16368,1469.07,40.6154,-111.90573,4,3,0.3227,2,42111,60279,64419,,,,,,
161,8/9/2018,7:28:57,51,281930 I15 NB,4,8702,838.21,40.41656,-111.87339,5,1,0.2,1,24303,26937,29997,,,,,,
162,8/23/2018,6:42:45,53,8800 S I15 NB,4,2385,1302.5,40.59016,-111.90093,6,3,0.27,2,32731,24165,27345,,,,,,
163,9/4/2018,7:24:41,82,16423 S I15 SB       ,4,9673,1325.55,40.46225,-111.91381,6,2,0.193,1,24939,26681,31601,,,,,,
164,9/11/2018,8:48:41,38,3700 S I15 NB,4,10267,1356.9,40.68953,-111.90296,6,3,0.5,1,24934,31721,34001,,,,,,
165,9/13/2018,7:53:13,14,10700 S I15 SB,4,12939,1281.98,40.55887,-111.89814,6,4,0.3333,1,33522,28393,29233,,,,,,
166,9/13/2018,15:42:48,23,277006 I15 SB,4,4647,1725.46,40.36692,-111.79517,6,2,0.3333,1,24301,56568,57948,,,,,,
167,9/18/2018,13:40:21,76,9200 S I15 SB,4,6785,1074.94,40.58534,-111.89995,6,1,0.1667,1,32341,49221,53781,,,,,,
168,9/20/2018,16:48:31,56,14500 S I15 NB,4,2500,1423.13,40.39515,-111.83909,6,3,0.4735,2,24420,60511,63871,,,,,,
169,9/20/2018,17:27:04,39,280003 I15 NB,4,8998,1181.29,40.76513,-111.95483,5,3,0.25,1,24303,62824,65164,,,,,,
170,9/24/2018,11:10:00,65,10900 S I15 SB,4,9780,996.16,40.53681,-111.89283,6,3,0.325,2,4784,40200,44100,,,,,,
171,3/5/2018,15:32:37,17,8900 S I15 NB,5,8527,2086.15,40.590579,-111.90106,5,2,0.4,1,24390,55957,56977,,,,,,
172,3/13/2018,17:28:56,14,281917 I15 SB; MM 282 I15 SB,5,8798,3228.09,40.30054,-111.72565,5,2,0.3333,2,24395,62936,63776,,,,,,
173,3/21/2018,16:05:40,63,1746 N I15 NB; MM 311 I15 NB,5,5861,2629.85,40.8005,-111.91996,4,1,0.25,2,24422,57940,61720,,,,,,
